y_true,pred_ridge,pred_transformer
4.016782760620117,4.2493577003479,3.9566164016723633
4.160828590393066,4.20014762878418,4.098452568054199
3.8984508514404297,4.031644344329834,3.811544418334961
4.0110626220703125,4.142426490783691,4.0593414306640625
3.943692445755005,3.9821527004241943,3.9993972778320312
3.990072250366211,4.237178802490234,3.9329285621643066
3.943247079849243,4.233226299285889,4.018995761871338
4.051036834716797,4.312601566314697,4.060155391693115
4.057742118835449,3.9183244705200195,4.084886074066162
3.827756881713867,3.7843194007873535,3.74257230758667
3.930694341659546,4.068938732147217,3.956956624984741
4.396617889404297,4.268095970153809,4.42528772354126
4.52930212020874,4.4166483879089355,4.5015058517456055
4.036468982696533,3.9589993953704834,3.9308173656463623
4.328583240509033,4.111965179443359,4.037267684936523
4.15280818939209,4.063051223754883,3.9606733322143555
4.35285758972168,4.244495391845703,4.273106098175049
3.7733476161956787,3.8658509254455566,3.782008171081543
4.63463830947876,4.4571685791015625,4.54642391204834
4.063033103942871,4.061267375946045,3.9883179664611816
3.8591983318328857,3.7656970024108887,3.778282880783081
3.948364019393921,3.851257562637329,3.869168758392334
4.101815700531006,4.167751312255859,3.8601810932159424
4.129947662353516,4.186912536621094,3.9302401542663574
4.084433078765869,4.009650230407715,4.018141746520996
4.51840877532959,4.446518898010254,4.417082786560059
4.033745288848877,4.150174140930176,4.143803119659424
3.882638454437256,3.7350821495056152,3.8507893085479736
3.7309436798095703,3.9284205436706543,3.485934019088745
3.955735921859741,4.002233982086182,4.02514123916626
3.861534357070923,3.9234066009521484,3.9992902278900146
4.471658229827881,4.459070205688477,4.372978210449219
3.8762755393981934,3.9591054916381836,3.939749240875244
4.2285542488098145,4.27652645111084,4.033333778381348
4.158814430236816,4.08107852935791,4.163735866546631
3.9970803260803223,3.977689266204834,4.246846675872803
4.047275066375732,3.885510206222534,3.904764175415039
3.97501802444458,3.9305062294006348,3.988086700439453
4.007534503936768,3.9671263694763184,4.10422420501709
4.088419437408447,4.028007507324219,4.131591320037842
3.9572720527648926,4.063630104064941,4.005844593048096
3.9778149127960205,4.032427787780762,4.028554916381836
4.093456745147705,4.068912982940674,4.113377571105957
3.959423065185547,4.060164451599121,4.116139888763428
4.3049211502075195,4.201557636260986,4.288206100463867
3.9147660732269287,3.8805060386657715,3.8543176651000977
4.4471116065979,4.45052433013916,4.569769859313965
4.196673393249512,4.251025199890137,4.425156116485596
4.353185176849365,4.305998802185059,4.545466423034668
4.051075458526611,4.232803821563721,3.9952244758605957
3.976945638656616,3.6455776691436768,3.7076244354248047
4.31943941116333,4.214651584625244,4.3337721824646
4.032336711883545,4.031163215637207,4.0407915115356445
3.9528892040252686,3.9837863445281982,4.043860912322998
4.0959014892578125,4.124821186065674,3.9525797367095947
4.605207920074463,4.457569122314453,4.513737678527832
3.889469861984253,3.994539260864258,3.8240773677825928
4.420319080352783,4.338832378387451,4.585812568664551
3.7209856510162354,3.9339041709899902,3.5479354858398438
4.513603687286377,4.335386276245117,4.511709213256836
3.957415819168091,4.017804145812988,4.035831928253174
4.24978494644165,4.270551681518555,4.2231621742248535
3.883150100708008,3.996802568435669,3.8486032485961914
3.979001760482788,4.217501640319824,3.984222888946533
4.375370979309082,4.27905797958374,4.447656154632568
4.512711048126221,4.359360218048096,4.579753875732422
4.054498195648193,3.9888525009155273,3.8643441200256348
3.991403341293335,3.799048900604248,3.767300605773926
4.1596574783325195,4.1136274337768555,4.102795124053955
4.067405700683594,4.140218257904053,4.095473289489746
3.839540958404541,3.883817672729492,3.8412890434265137
3.996248960494995,4.092357158660889,3.9091053009033203
3.969555616378784,3.836700916290283,3.855679988861084
4.101918697357178,4.082070350646973,4.0293426513671875
4.003072738647461,4.017458438873291,3.8940744400024414
3.8103668689727783,3.8495166301727295,3.831589698791504
4.061188697814941,4.072613716125488,4.023522853851318
4.108835697174072,4.193960189819336,4.190821647644043
3.8361973762512207,3.953300952911377,3.83876895904541
3.9344985485076904,3.9902756214141846,4.001204490661621
4.47520637512207,4.352998733520508,4.561915397644043
4.463101387023926,4.383995532989502,4.426938056945801
3.792041301727295,3.8607728481292725,3.5839364528656006
3.970160961151123,4.167826175689697,3.8842806816101074
3.8224949836730957,3.8447561264038086,3.812802791595459
4.488889217376709,4.364861488342285,4.371130466461182
4.538121223449707,4.387628078460693,4.464756965637207
4.464742660522461,4.4631452560424805,4.458562850952148
3.8304603099823,3.9655544757843018,3.900968074798584
